   N    orbits    quotient
 261    809640  5.97696737
 262   4345140  7.98084659
 263    822156  5.97714286
 264   4412100  7.98099221
 265    834768  5.97731569
 266   4479572  7.98113564
 267    847476  5.97748593
 268   4547556  7.98127692
 269    860280  5.97765363
 270   4616052  7.98141610
 271    873180  5.97781885
 272   4685060  7.98155322
 273    886176  5.97798165
 274   4754580  7.98168834
 275    899268  5.97814208
 276   4824612  7.98182149
 277    912456  5.97830018
 278   4895156  7.98195272
 279    925740  5.97845601
 280   4966212  7.98208207
 281    939120  5.97860963
 282   5037780  7.98220957
 283    952596  5.97876106
 284   5109860  7.98233528
 285    966168  5.97891037
 286   5182452  7.98245922
 287    979836  5.97905759
 288   5255556  7.98258143
 289    993600  5.97920277
 290   5329172  7.98270196
 291   1007460  5.97934596
 292   5403300  7.98282082
 293   1021416  5.97948718
 294   5477940  7.98293807
 295   1035468  5.97962649
 296   5553092  7.98305372
 297   1049616  5.97976391
 298   5628756  7.98316782
 299   1063860  5.97989950
 300   5704932  7.98328039
 301   1078200  5.98003328
 302   5781620  7.98339147
 303   1092636  5.98016529
 304   5858820  7.98350108
 305   1107168  5.98029557
 306   5936532  7.98360925
 307   1121796  5.98042414
 308   6014756  7.98371601
 309   1136520  5.98055105
 310   6093492  7.98382139
 311   1151340  5.98067633
 312   6172740  7.98392542
 313   1166256  5.98080000
 314   6252500  7.98402811
 315   1181268  5.98092210
 316   6332772  7.98412951
 317   1196376  5.98104265
 318   6413556  7.98422962
 319   1211580  5.98116170
 320   6494852  7.98432848
 321   1226880  5.98127925
 322   6576660  7.98442610
 323   1242276  5.98139535
 324   6658980  7.98452252
 325   1257768  5.98151002
 326   6741812  7.98461775
 327   1273356  5.98162328
 328   6825156  7.98471182
 329   1289040  5.98173516
 330   6909012  7.98480474
 331   1304820  5.98184569
 332   6993380  7.98489654
 333   1320696  5.98195489
 334   7078260  7.98498724
 335   1336668  5.98206278
 336   7163652  7.98507686
 337   1352736  5.98216939
 338   7249556  7.98516541
 339   1368900  5.98227474
 340   7335972  7.98525291
 341   1385160  5.98237885
 342   7422900  7.98533939
 343   1401516  5.98248175
 344   7510340  7.98542487
 345   1417968  5.98258345
 346   7598292  7.98550935
 347   1434516  5.98268398
 348   7686756  7.98559286
 349   1451160  5.98278336
 350   7775732  7.98567541
 351   1467900  5.98288160
 352   7865220  7.98575702
 353   1484736  5.98297872
 354   7955220  7.98583770
 355   1501668  5.98307475
 356   8045732  7.98591748
 357   1518696  5.98316971
 358   8136756  7.98599636
 359   1535820  5.98326360
 360   8228292  7.98607436
 361   1553040  5.98335645
 362   8320340  7.98615150
 363   1570356  5.98344828
 364   8412900  7.98622779
 365   1587768  5.98353909
 366   8505972  7.98630325
 367   1605276  5.98362892
 368   8599556  7.98637788
 369   1622880  5.98371777
 370   8693652  7.98645170
 371   1640580  5.98380567
 372   8788260  7.98652473
 373   1658376  5.98389262
 374   8883380  7.98659697
 375   1676268  5.98397864
 376   8979012  7.98666845
 377   1694256  5.98406375
 378   9075156  7.98673916
 379   1712340  5.98414795
 380   9171812  7.98680913
 381   1730520  5.98423127
 382   9268980  7.98687836
 383   1748796  5.98431373
 384   9366660  7.98694688
 385   1767168  5.98439532
 386   9464852  7.98701467
 387   1785636  5.98447607
 388   9563556  7.98708177
 389   1804200  5.98455598
 390   9662772  7.98714818
 391   1822860  5.98463508
 392   9762500  7.98721391
 393   1841616  5.98471338
 394   9862740  7.98727897
 395   1860468  5.98479087
 396   9963492  7.98734338
 397   1879416  5.98486759
 398  10064756  7.98740713
 399   1898460  5.98494354
 400  10166532  7.98747024
 401   1917600  5.98501873
 402  10268820  7.98753273
 403   1936836  5.98509317
 404  10371620  7.98759459
 405   1956168  5.98516687
 406  10474932  7.98765585
 407   1975596  5.98523985
 408  10578756  7.98771650
 409   1995120  5.98531212
 410  10683092  7.98777656
 411   2014740  5.98538368
 412  10787940  7.98783603
 413   2034456  5.98545455
 414  10893300  7.98789493
 415   2054268  5.98552473
 416  10999172  7.98795326
 417   2074176  5.98559424
 418  11105556  7.98801103
 419   2094180  5.98566308
 420  11212452  7.98806825
 421   2114280  5.98573127
 422  11319860  7.98812493
 423   2134476  5.98579882
 424  11427780  7.98818107
 425   2154768  5.98586572
 426  11536212  7.98823668
 427   2175156  5.98593200
 428  11645156  7.98829177
 429   2195640  5.98599767
 430  11754612  7.98834635
 431   2216220  5.98606272
 432  11864580  7.98840042
 433   2236896  5.98612717
 434  11975060  7.98845399
 435   2257668  5.98619102
 436  12086052  7.98850707
 437   2278536  5.98625430
 438  12197556  7.98855966
 439   2299500  5.98631699
 440  12309572  7.98861178
 441   2320560  5.98637911
 442  12422100  7.98866342
 443   2341716  5.98644068
 444  12535140  7.98871459
 445   2362968  5.98650169
 446  12648692  7.98876531
 447   2384316  5.98656215
 448  12762756  7.98881557
 449   2405760  5.98662207
 450  12877332  7.98886538
 451   2427300  5.98668147
 452  12992420  7.98891476
 453   2448936  5.98674033
 454  13108020  7.98896369
 455   2470668  5.98679868
 456  13224132  7.98901220
 457   2492496  5.98685652
 458  13340756  7.98906028
 459   2514420  5.98691385
 460  13457892  7.98910794
 461   2536440  5.98697068
 462  13575540  7.98915519
 463   2558556  5.98702703
 464  13693700  7.98920203
 465   2580768  5.98708288
 466  13812372  7.98924847
 467   2603076  5.98713826
 468  13931556  7.98929451
 469   2625480  5.98719317
 470  14051252  7.98934016
 471   2647980  5.98724761
 472  14171460  7.98938542
 473   2670576  5.98730159
 474  14292180  7.98943029
 475   2693268  5.98735511
 476  14413412  7.98947479
 477   2716056  5.98740818
 478  14535156  7.98951892
 479   2738940  5.98746082
 480  14657412  7.98956268
 481   2761920  5.98751301
 482  14780180  7.98960607
 483   2784996  5.98756477
 484  14903460  7.98964911
 485   2808168  5.98761610
 486  15027252  7.98969179
 487   2831436  5.98766701
 488  15151556  7.98973411
 489   2854800  5.98771750
 490  15276372  7.98977610
 491   2878260  5.98776758
 492  15401700  7.98981774
 493   2901816  5.98781726
 494  15527540  7.98985904
 495   2925468  5.98786653
 496  15653892  7.98990001
 497   2949216  5.98791541
 498  15780756  7.98994065
 499   2973060  5.98796389
 500  15908132  7.98998096
 501   2997000  5.98801199
 502  16036020  7.99002096
 503   3021036  5.98805970
 504  16164420  7.99006063
 505   3045168  5.98810704
 506  16293332  7.99009999
 507   3069396  5.98815400
 508  16422756  7.99013904
 509   3093720  5.98820059
 510  16552692  7.99017778
 511   3118140  5.98824682
 512  16683140  7.99021622
 513   3142656  5.98829268
 514  16814100  7.99025436
 515   3167268  5.98833819
 516  16945572  7.99029221
 517   3191976  5.98838335
 518  17077556  7.99032976
 519   3216780  5.98842816
 520  17210052  7.99036702
 521   3241680  5.98847262
 522  17343060  7.99040399
 523   3266676  5.98851675
 524  17476580  7.99044068
 525   3291768  5.98856053
 526  17610612  7.99047710
 527   3316956  5.98860399
 528  17745156  7.99051323
 529   3342240  5.98864711
 530  17880212  7.99054910
 531   3367620  5.98868992
 532  18015780  7.99058469
 533   3393096  5.98873239
 534  18151860  7.99062002
 535   3418668  5.98877456
 536  18288452  7.99065508
 537   3444336  5.98881640
 538  18425556  7.99068988
 539   3470100  5.98885794
 540  18563172  7.99072442
 541   3495960  5.98889917
 542  18701300  7.99075871
 543   3521916  5.98894009
 544  18839940  7.99079275
 545   3547968  5.98898072
 546  18979092  7.99082653
 547   3574116  5.98902104
 548  19118756  7.99086007
 549   3600360  5.98906108
 550  19258932  7.99089336
 551   3626700  5.98910082
 552  19399620  7.99092641
 553   3653136  5.98914027
 554  19540820  7.99095923
 555   3679668  5.98917944
 556  19682532  7.99099180
 557   3706296  5.98921833
 558  19824756  7.99102415
 559   3733020  5.98925694
 560  19967492  7.99105626
 561   3759840  5.98929527
 562  20110740  7.99108814
 563   3786756  5.98933333
 564  20254500  7.99111979
 565   3813768  5.98937112
 566  20398772  7.99115123
 567   3840876  5.98940865
 568  20543556  7.99118244
 569   3868080  5.98944591
 570  20688852  7.99121343
 571   3895380  5.98948291
 572  20834660  7.99124420
 573   3922776  5.98951965
 574  20980980  7.99127476
 575   3950268  5.98955614
 576  21127812  7.99130510
 577   3977856  5.98959237
 578  21275156  7.99133524
 579   4005540  5.98962835
 580  21423012  7.99136517
 581   4033320  5.98966408
 582  21571380  7.99139489
 583   4061196  5.98969957
 584  21720260  7.99142441
 585   4089168  5.98973482
 586  21869652  7.99145372
 587   4117236  5.98976982
 588  22019556  7.99148284
 589   4145400  5.98980459
 590  22169972  7.99151176
 591   4173660  5.98983912
 592  22320900  7.99154048
 593   4202016  5.98987342
 594  22472340  7.99156901
 595   4230468  5.98990749
 596  22624292  7.99159735
 597   4259016  5.98994132
 598  22776756  7.99162549
 599   4287660  5.98997494
 600  22929732  7.99165345
 601   4316400  5.99000833
 602  23083220  7.99168122
 603   4345236  5.99004149
 604  23237220  7.99170881
 605   4374168  5.99007444
 606  23391732  7.99173622
 607   4403196  5.99010717
 608  23546756  7.99176345
 609   4432320  5.99013969
 610  23702292  7.99179049
 611   4461540  5.99017199
 612  23858340  7.99181736
