  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ----------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5             0           0  0.00000000  {}
  6            96          16  6.00000000  {8: 8, 4: 8}
  7          1312         168  7.80952381  {8: 160, 4: 8}
  8         39568        4980  7.94538153  {8: 4912, 4: 68}
  9        169104       21172  7.98715284  {8: 21104, 4: 68}
 10       1065392      133340  7.99004050  {8: 133008, 4: 332}
 11       2882672      360500  7.99631623  {8: 360168, 4: 332}
 12       9787728     1223956  7.99679727  {8: 1222976, 4: 980}
 13      20914768     2614836  7.99850086  {8: 2613856, 4: 980}
 14      51490864     6437460  7.99863052  {8: 6435256, 4: 2204}
 15      94914992    11865476  7.99925700  {8: 11863272, 4: 2204}
 16     192606736    24077940  7.99930293  {8: 24073744, 4: 4196}
