  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4           320          40  8.00000000  {8: 40}
  5          1536         192  8.00000000  {8: 192}
  6          7488         936  8.00000000  {8: 936}
  7         16576        2072  8.00000000  {8: 2072}
  8         38208        4776  8.00000000  {8: 4776}
  9         65472        8184  8.00000000  {8: 8184}
 10        113600       14200  8.00000000  {8: 14200}
 11        169664       21208  8.00000000  {8: 21208}
 12        255040       31880  8.00000000  {8: 31880}
 13        350656       43832  8.00000000  {8: 43832}
 14        484032       60504  8.00000000  {8: 60504}
 15        629952       78744  8.00000000  {8: 78744}
 16        822080      102760  8.00000000  {8: 102760}
 17       1029056      128632  8.00000000  {8: 128632}
 18       1290688      161336  8.00000000  {8: 161336}
 19       1569472      196184  8.00000000  {8: 196184}
 20       1911360      238920  8.00000000  {8: 238920}
 21       2272704      284088  8.00000000  {8: 284088}
 22       2705600      338200  8.00000000  {8: 338200}
 23       3160256      395032  8.00000000  {8: 395032}
 24       3694912      461864  8.00000000  {8: 461864}
 25       4253632      531704  8.00000000  {8: 531704}
 26       4900800      612600  8.00000000  {8: 612600}
 27       5574336      696792  8.00000000  {8: 696792}
 28       6344768      793096  8.00000000  {8: 793096}
 29       7143872      892984  8.00000000  {8: 892984}
 30       8048320     1006040  8.00000000  {8: 1006040}
