  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ----------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5             0           0  0.00000000  {}
  6            96          16  6.00000000  {8: 8, 4: 8}
  7          5920         744  7.95698925  {8: 736, 4: 8}
  8        269072       33692  7.98622818  {8: 33576, 4: 116}
  9       1285072      160692  7.99711249  {8: 160576, 4: 116}
 10      11694912     1462288  7.99768035  {8: 1461440, 4: 848}
 11      32502656     4063256  7.99916520  {8: 4062408, 4: 848}
 12     135707216    16964828  7.99932755  {8: 16961976, 4: 2852}
