  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -----------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4            68          10  6.80000000  {8: 8, 2: 2}
  5           580          74  7.83783784  {8: 72, 2: 2}
  6          8348        1058  7.89035917  {8: 1032, 4: 20, 2: 6}
  7         26268        3298  7.96482717  {8: 3272, 4: 20, 2: 6}
  8        103300       12958  7.97190925  {8: 12872, 4: 76, 2: 10}
  9        225092       28182  7.98708395  {8: 28096, 4: 76, 2: 10}
 10        533548       66794  7.98796299  {8: 66600, 4: 180, 2: 14}
 11        943916      118090  7.99319163  {8: 117896, 4: 180, 2: 14}
 12       1752404      219230  7.99344980  {8: 218880, 4: 332, 2: 18}
 13       2743508      343118  7.99581485  {8: 342768, 4: 332, 2: 18}
 14       4428348      553826  7.99591930  {8: 553272, 4: 532, 2: 22}
 15       6399548      800226  7.99717580  {8: 799672, 4: 532, 2: 22}
 16       9444580     1180982  7.99722604  {8: 1180176, 4: 780, 2: 26}
 17      12902756     1613254  7.99796932  {8: 1612448, 4: 780, 2: 26}
 18      17899340     2237978  7.99799641  {8: 2236872, 4: 1076, 2: 30}
 19      23458892     2932922  7.99847115  {8: 2931816, 4: 1076, 2: 30}
 20      31105908     3888974  7.99848700  {8: 3887520, 4: 1420, 2: 34}
 21      39488756     4936830  7.99880814  {8: 4935376, 4: 1420, 2: 34}
 22      50592604     6325010  7.99881803  {8: 6323160, 4: 1812, 2: 38}
 23      62628188     7829458  7.99904514  {8: 7827608, 4: 1812, 2: 38}
 24      78102788     9764006  7.99905162  {8: 9761712, 4: 2252, 2: 42}
 25      94728068    11842166  7.99921805  {8: 11839872, 4: 2252, 2: 42}
 26     115594860    14450762  7.99922246  {8: 14447976, 4: 2740, 2: 46}
 27     137854316    17233194  7.99934800  {8: 17230408, 4: 2740, 2: 46}
