  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  --------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5             0           0  0.00000000  {}
  6             0           0  0.00000000  {}
  7             0           0  0.00000000  {}
  8            96          16  6.00000000  {8: 8, 4: 8}
  9           480          64  7.50000000  {8: 56, 4: 8}
 10         21264        2712  7.84070796  {8: 2608, 4: 96, 2: 8}
 11        117136       14696  7.97060425  {8: 14592, 4: 96, 2: 8}
 12       1157328      144976  7.98289372  {8: 144368, 4: 584, 2: 24}
 13       3892688      486896  7.99490651  {8: 486288, 4: 584, 2: 24}
