  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -----------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4           128          16  8.00000000  {8: 16}
  5             0           0  0.00000000  {}
  6          1088         136  8.00000000  {8: 136}
  7             0           0  0.00000000  {}
  8          3584         448  8.00000000  {8: 448}
  9             0           0  0.00000000  {}
 10          9216        1152  8.00000000  {8: 1152}
 11             0           0  0.00000000  {}
 12         19584        2448  8.00000000  {8: 2448}
 13             0           0  0.00000000  {}
 14         36096        4512  8.00000000  {8: 4512}
 15             0           0  0.00000000  {}
 16         60288        7536  8.00000000  {8: 7536}
 17             0           0  0.00000000  {}
 18         93696       11712  8.00000000  {8: 11712}
 19             0           0  0.00000000  {}
 20        137856       17232  8.00000000  {8: 17232}
 21             0           0  0.00000000  {}
 22        194304       24288  8.00000000  {8: 24288}
 23             0           0  0.00000000  {}
 24        264576       33072  8.00000000  {8: 33072}
 25             0           0  0.00000000  {}
 26        350208       43776  8.00000000  {8: 43776}
 27             0           0  0.00000000  {}
 28        452736       56592  8.00000000  {8: 56592}
 29             0           0  0.00000000  {}
 30        573696       71712  8.00000000  {8: 71712}
 31             0           0  0.00000000  {}
 32        714624       89328  8.00000000  {8: 89328}
 33             0           0  0.00000000  {}
 34        877056      109632  8.00000000  {8: 109632}
 35             0           0  0.00000000  {}
 36       1062528      132816  8.00000000  {8: 132816}
 37             0           0  0.00000000  {}
 38       1272576      159072  8.00000000  {8: 159072}
 39             0           0  0.00000000  {}
 40       1508736      188592  8.00000000  {8: 188592}
 41             0           0  0.00000000  {}
 42       1772544      221568  8.00000000  {8: 221568}
 43             0           0  0.00000000  {}
 44       2065536      258192  8.00000000  {8: 258192}
 45             0           0  0.00000000  {}
 46       2389248      298656  8.00000000  {8: 298656}
 47             0           0  0.00000000  {}
 48       2745216      343152  8.00000000  {8: 343152}
 49             0           0  0.00000000  {}
 50       3134976      391872  8.00000000  {8: 391872}
