  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3            64           8  8.00000000  {8: 8}
  4           400          52  7.69230769  {8: 48, 4: 4}
  5          1104         140  7.88571429  {8: 136, 4: 4}
  6          2864         364  7.86813187  {8: 352, 4: 12}
  7          5360         676  7.92899408  {8: 664, 4: 12}
  8          9376        1184  7.91891892  {8: 1160, 4: 24}
  9         13856        1744  7.94495413  {8: 1720, 4: 24}
 10         20048        2524  7.94294770  {8: 2488, 4: 36}
 11         26576        3340  7.95688623  {8: 3304, 4: 36}
 12         34880        4384  7.95620438  {8: 4336, 4: 48}
 13         43520        5464  7.96486091  {8: 5416, 4: 48}
 14         53936        6772  7.96455995  {8: 6712, 4: 60}
 15         64688        8116  7.97042878  {8: 8056, 4: 60}
 16         77216        9688  7.97027250  {8: 9616, 4: 72}
 17         90080       11296  7.97450425  {8: 11224, 4: 72}
 18        104720       13132  7.97441365  {8: 13048, 4: 84}
 19        119696       15004  7.97760597  {8: 14920, 4: 84}
 20        136448       17104  7.97754911  {8: 17008, 4: 96}
 21        153536       19240  7.98004158  {8: 19144, 4: 96}
 22        172400       21604  7.98000370  {8: 21496, 4: 108}
 23        191600       24004  7.98200300  {8: 23896, 4: 108}
 24        212576       26632  7.98197657  {8: 26512, 4: 120}
 25        233888       29296  7.98361551  {8: 29176, 4: 120}
 26        256976       32188  7.98359637  {8: 32056, 4: 132}
 27        280400       35116  7.98496412  {8: 34984, 4: 132}
 28        305600       38272  7.98494983  {8: 38128, 4: 144}
 29        331136       41464  7.98610843  {8: 41320, 4: 144}
 30        358448       44884  7.98609750  {8: 44728, 4: 156}
 31        386096       48340  7.98709144  {8: 48184, 4: 156}
 32        415520       52024  7.98708288  {8: 51856, 4: 168}
 33        445280       55744  7.98794489  {8: 55576, 4: 168}
 34        476816       59692  7.98793808  {8: 59512, 4: 180}
 35        508688       63676  7.98869276  {8: 63496, 4: 180}
 36        542336       67888  7.98868725  {8: 67696, 4: 192}
 37        576320       72136  7.98935344  {8: 71944, 4: 192}
 38        612080       76612  7.98934893  {8: 76408, 4: 204}
 39        648176       81124  7.98994132  {8: 80920, 4: 204}
 40        686048       85864  7.98993758  {8: 85648, 4: 216}
 41        724256       90640  7.99046778  {8: 90424, 4: 216}
 42        764240       95644  7.99046464  {8: 95416, 4: 228}
 43        804560      100684  7.99094196  {8: 100456, 4: 228}
 44        846656      105952  7.99093929  {8: 105712, 4: 240}
 45        889088      111256  7.99137125  {8: 111016, 4: 240}
 46        933296      116788  7.99136898  {8: 116536, 4: 252}
 47        977840      122356  7.99176174  {8: 122104, 4: 252}
 48       1024160      128152  7.99175979  {8: 127888, 4: 264}
 49       1070816      133984  7.99211846  {8: 133720, 4: 264}
 50       1119248      140044  7.99211676  {8: 139768, 4: 276}
