  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ----------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4            68          10  6.80000000  {8: 8, 2: 2}
  5           644          82  7.85365854  {8: 80, 2: 2}
  6         11612        1466  7.92087312  {8: 1440, 4: 20, 2: 6}
  7         52700        6602  7.98242957  {8: 6576, 4: 20, 2: 6}
  8        284040       35568  7.98582996  {8: 35448, 4: 108, 2: 12}
  9        684360       85608  7.99411270  {8: 85488, 4: 108, 2: 12}
 10       1941956      242914  7.99441778  {8: 242584, 4: 312, 2: 18}
 11       3592964      449290  7.99698190  {8: 448960, 4: 312, 2: 18}
 12       7379696      922792  7.99713912  {8: 922144, 4: 624, 2: 24}
 13      11932208     1491856  7.99823039  {8: 1491208, 4: 624, 2: 24}
 14      20526332     2566342  7.99828394  {8: 2565256, 4: 1056, 2: 30}
 15      30368060     3796558  7.99884000  {8: 3795472, 4: 1056, 2: 30}
 16      46815976     5852828  7.99886414  {8: 5851184, 4: 1608, 2: 36}
 17      65087016     8136708  7.99918296  {8: 8135064, 4: 1608, 2: 36}
 18      93190324    11649962  7.99919553  {8: 11647640, 4: 2280, 2: 42}
 19     123796084    15475682  7.99939440  {8: 15473360, 4: 2280, 2: 42}
 20     168116384    21016120  7.99940160  {8: 21013000, 4: 3072, 2: 48}
