24 15534 {4: 15333, 3: 201}
{(1, 12), (12, 13), (13, 1)}
{(1, 12), (12, 13), (13, 5)}
{(1, 12), (12, 13), (13, 6)}
{(1, 12), (12, 13), (13, 7)}
{(1, 12), (12, 2), (13, 13)}
{(1, 12), (12, 3), (13, 13)}
{(1, 12), (12, 6), (13, 13)}
{(1, 12), (12, 7), (13, 13)}
{(1, 12), (12, 8), (13, 13)}
{(1, 12), (12, 9), (13, 13)}
{(1, 12), (13, 4), (12, 13)}
{(1, 12), (13, 9), (12, 13)}
{(12, 13), (13, 4), (4, 12)}
{(12, 13), (13, 9), (4, 12)}
{(12, 13), (13, 9), (7, 12)}
{(12, 13), (2, 12), (13, 7)}
{(12, 13), (4, 12), (13, 5)}
{(12, 13), (4, 12), (13, 6)}
{(12, 13), (4, 12), (13, 7)}
{(12, 13), (5, 12), (13, 7)}
{(12, 13), (7, 12), (13, 7)}
{(12, 4), (1, 12), (13, 13)}
{(12, 4), (2, 12), (13, 13)}
{(12, 5), (1, 12), (13, 13)}
{(12, 5), (2, 12), (13, 13)}
{(12, 5), (4, 12), (13, 13)}
{(12, 6), (2, 12), (13, 13)}
{(12, 6), (4, 12), (13, 13)}
{(12, 6), (5, 12), (13, 13)}
{(12, 7), (2, 12), (13, 13)}
{(12, 7), (4, 12), (13, 13)}
{(12, 7), (5, 12), (13, 13)}
{(12, 8), (2, 12), (13, 13)}
{(12, 8), (5, 12), (13, 13)}
{(12, 9), (13, 13), (8, 12)}
{(12, 9), (2, 12), (13, 13)}
{(12, 9), (4, 12), (13, 13)}
{(12, 9), (5, 12), (13, 13)}
{(12, 9), (7, 12), (13, 13)}
{(13, 2), (1, 12), (12, 13)}
{(13, 2), (12, 13), (2, 12)}
{(13, 3), (1, 12), (12, 13)}
{(13, 3), (12, 13), (2, 12)}
{(13, 4), (12, 13), (2, 12)}
{(13, 5), (12, 13), (2, 12)}
{(13, 5), (12, 13), (5, 12)}
{(13, 6), (12, 13), (2, 12)}
{(13, 6), (12, 13), (5, 12)}
{(13, 8), (1, 12), (12, 13)}
{(13, 8), (12, 13), (2, 12)}
{(13, 8), (12, 13), (4, 12)}
{(13, 8), (12, 13), (5, 12)}
{(13, 8), (12, 13), (7, 12)}
{(13, 8), (12, 13), (8, 12)}
{(13, 9), (12, 13), (2, 12)}
{(13, 9), (12, 13), (5, 12)}
{(13, 9), (12, 13), (8, 12)}
{(13, 9), (9, 12), (12, 13)}
{(2, 12), (12, 3), (13, 13)}
{(3, 12), (12, 13), (13, 6)}
{(3, 12), (12, 13), (13, 7)}
{(3, 12), (12, 4), (13, 13)}
{(3, 12), (12, 5), (13, 13)}
{(3, 12), (12, 6), (13, 13)}
{(3, 12), (12, 7), (13, 13)}
{(3, 12), (12, 8), (13, 13)}
{(3, 12), (12, 9), (13, 13)}
{(3, 12), (13, 3), (12, 13)}
{(3, 12), (13, 4), (12, 13)}
{(3, 12), (13, 5), (12, 13)}
{(3, 12), (13, 8), (12, 13)}
{(3, 12), (13, 9), (12, 13)}
{(4, 12), (12, 8), (13, 13)}
{(6, 12), (12, 13), (13, 6)}
{(6, 12), (12, 13), (13, 7)}
{(6, 12), (12, 7), (13, 13)}
{(6, 12), (12, 8), (13, 13)}
{(6, 12), (12, 9), (13, 13)}
{(6, 12), (13, 8), (12, 13)}
{(6, 12), (13, 9), (12, 13)}
{(7, 12), (12, 8), (13, 13)}
{(1, 12), (12, 11), (13, 13)}
{(1, 12), (12, 13), (13, 11)}
{(1, 12), (12, 13), (13, 17)}
{(1, 12), (12, 13), (13, 18)}
{(1, 12), (12, 13), (13, 23)}
{(1, 12), (12, 16), (13, 13)}
{(1, 12), (12, 17), (13, 13)}
{(1, 12), (12, 18), (13, 13)}
{(1, 12), (12, 19), (13, 13)}
{(1, 12), (12, 20), (13, 13)}
{(1, 12), (12, 22), (13, 13)}
{(1, 12), (13, 10), (12, 13)}
{(1, 12), (13, 15), (12, 13)}
{(1, 12), (13, 16), (12, 13)}
{(1, 12), (13, 20), (12, 13)}
{(1, 12), (13, 21), (12, 13)}
{(1, 12), (13, 22), (12, 13)}
{(12, 10), (1, 12), (13, 13)}
{(12, 10), (13, 13), (8, 12)}
{(12, 10), (2, 12), (13, 13)}
{(12, 10), (4, 12), (13, 13)}
{(12, 10), (5, 12), (13, 13)}
{(12, 10), (7, 12), (13, 13)}
{(12, 10), (9, 12), (13, 13)}
{(12, 11), (13, 13), (8, 12)}
{(12, 11), (2, 12), (13, 13)}
{(12, 11), (4, 12), (13, 13)}
{(12, 11), (5, 12), (13, 13)}
{(12, 11), (7, 12), (13, 13)}
{(12, 11), (9, 12), (13, 13)}
{(12, 13), (13, 10), (4, 12)}
{(12, 13), (13, 10), (7, 12)}
{(12, 13), (13, 11), (8, 12)}
{(12, 13), (13, 15), (4, 12)}
{(12, 13), (13, 15), (7, 12)}
{(12, 13), (13, 16), (4, 12)}
{(12, 13), (13, 16), (7, 12)}
{(12, 13), (13, 20), (4, 12)}
{(12, 13), (2, 12), (13, 18)}
{(12, 13), (4, 12), (13, 11)}
{(12, 13), (4, 12), (13, 17)}
{(12, 13), (4, 12), (13, 18)}
{(12, 13), (5, 12), (13, 18)}
{(12, 13), (7, 12), (13, 11)}
{(12, 13), (7, 12), (13, 17)}
{(12, 15), (1, 12), (13, 13)}
{(12, 15), (13, 13), (8, 12)}
{(12, 15), (2, 12), (13, 13)}
{(12, 15), (4, 12), (13, 13)}
{(12, 15), (5, 12), (13, 13)}
{(12, 15), (7, 12), (13, 13)}
{(12, 16), (2, 12), (13, 13)}
{(12, 16), (4, 12), (13, 13)}
{(12, 16), (5, 12), (13, 13)}
{(12, 16), (7, 12), (13, 13)}
{(12, 17), (2, 12), (13, 13)}
{(12, 17), (4, 12), (13, 13)}
{(12, 17), (5, 12), (13, 13)}
{(12, 18), (2, 12), (13, 13)}
{(12, 18), (4, 12), (13, 13)}
{(12, 18), (5, 12), (13, 13)}
{(12, 19), (2, 12), (13, 13)}
{(12, 21), (1, 12), (13, 13)}
{(12, 21), (2, 12), (13, 13)}
{(13, 10), (12, 13), (2, 12)}
{(13, 10), (12, 13), (5, 12)}
{(13, 10), (12, 13), (8, 12)}
{(13, 10), (9, 12), (12, 13)}
{(13, 11), (12, 13), (2, 12)}
{(13, 11), (12, 13), (5, 12)}
{(13, 15), (12, 13), (2, 12)}
{(13, 15), (12, 13), (5, 12)}
{(13, 15), (12, 13), (8, 12)}
{(13, 15), (9, 12), (12, 13)}
{(13, 16), (12, 13), (2, 12)}
{(13, 16), (12, 13), (5, 12)}
{(13, 16), (12, 13), (8, 12)}
{(13, 17), (12, 13), (2, 12)}
{(13, 17), (12, 13), (5, 12)}
{(13, 19), (1, 12), (12, 13)}
{(13, 19), (12, 13), (2, 12)}
{(13, 19), (12, 13), (4, 12)}
{(13, 19), (12, 13), (5, 12)}
{(13, 20), (12, 13), (2, 12)}
{(13, 21), (12, 13), (2, 12)}
{(13, 22), (12, 13), (2, 12)}
{(2, 12), (12, 20), (13, 13)}
{(3, 12), (12, 10), (13, 13)}
{(3, 12), (12, 11), (13, 13)}
{(3, 12), (12, 13), (13, 11)}
{(3, 12), (12, 13), (13, 17)}
{(3, 12), (12, 13), (13, 18)}
{(3, 12), (12, 15), (13, 13)}
{(3, 12), (12, 16), (13, 13)}
{(3, 12), (12, 17), (13, 13)}
{(3, 12), (12, 18), (13, 13)}
