  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ----------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4            68          10  6.80000000  {8: 8, 2: 2}
  5           580          74  7.83783784  {8: 72, 2: 2}
  6          8348        1058  7.89035917  {8: 1032, 2: 6, 4: 20}
  7         26268        3298  7.96482717  {8: 3272, 2: 6, 4: 20}
  8        103300       12958  7.97190925  {8: 12872, 2: 10, 4: 76}
  9        225092       28182  7.98708395  {8: 28096, 2: 10, 4: 76}
 10        533548       66794  7.98796299  {8: 66600, 2: 14, 4: 180}
 11        943916      118090  7.99319163  {8: 117896, 2: 14, 4: 180}
 12       1752404      219230  7.99344980  {8: 218880, 2: 18, 4: 332}
 13       2743508      343118  7.99581485  {8: 342768, 2: 18, 4: 332}
 14       4428348      553826  7.99591930  {8: 553272, 2: 22, 4: 532}
 15       6399548      800226  7.99717580  {8: 799672, 2: 22, 4: 532}
 16       9444580     1180982  7.99722604  {8: 1180176, 2: 26, 4: 780}
 17      12902756     1613254  7.99796932  {8: 1612448, 2: 26, 4: 780}
 18      17899340     2237978  7.99799641  {8: 2236872, 2: 30, 4: 1076}
 19      23458892     2932922  7.99847115  {8: 2931816, 2: 30, 4: 1076}
 20      31105908     3888974  7.99848700  {8: 3887520, 2: 34, 4: 1420}
