  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5            64           8  8.00000000  {8: 8}
  6          2880         360  8.00000000  {8: 360}
  7         13248        1656  8.00000000  {8: 1656}
  8        111744       13968  8.00000000  {8: 13968}
  9        325056       40632  8.00000000  {8: 40632}
 10       1163840      145480  8.00000000  {8: 145480}
 11       2497472      312184  8.00000000  {8: 312184}
 12       6044672      755584  8.00000000  {8: 755584}
 13      10936896     1367112  8.00000000  {8: 1367112}
 14      21343488     2667936  8.00000000  {8: 2667936}
 15      34598080     4324760  8.00000000  {8: 4324760}
 16      59056128     7382016  8.00000000  {8: 7382016}
 17      88702784    11087848  8.00000000  {8: 11087848}
 18     138305792    17288224  8.00000000  {8: 17288224}
 19     196459968    24557496  8.00000000  {8: 24557496}
