  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  --------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4           320          40  8.00000000  {8: 40}
  5          1616         204  7.92156863  {8: 200, 4: 4}
  6         10048        1256  8.00000000  {8: 1256}
  7         27712        3464  8.00000000  {8: 3464}
  8         78144        9768  8.00000000  {8: 9768}
  9        144896       18112  8.00000000  {8: 18112}
 10        280320       35040  8.00000000  {8: 35040}
 11        435328       54416  8.00000000  {8: 54416}
 12        696320       87040  8.00000000  {8: 87040}
 13        983104      122888  8.00000000  {8: 122888}
 14       1411968      176496  8.00000000  {8: 176496}
 15       1872640      234080  8.00000000  {8: 234080}
 16       2511744      313968  8.00000000  {8: 313968}
 17       3188416      398552  8.00000000  {8: 398552}
 18       4080000      510000  8.00000000  {8: 510000}
 19       5014912      626864  8.00000000  {8: 626864}
 20       6201216      775152  8.00000000  {8: 775152}
 21       7436608      929576  8.00000000  {8: 929576}
 22       8959872     1119984  8.00000000  {8: 1119984}
 23      10537984     1317248  8.00000000  {8: 1317248}
 24      12440448     1555056  8.00000000  {8: 1555056}
 25      14403520     1800440  8.00000000  {8: 1800440}
 26      16727424     2090928  8.00000000  {8: 2090928}
 27      19117696     2389712  8.00000000  {8: 2389712}
 28      21905280     2738160  8.00000000  {8: 2738160}
 29      24764992     3095624  8.00000000  {8: 3095624}
 30      28058496     3507312  8.00000000  {8: 3507312}
