  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5            68          10  6.80000000  {8: 8, 2: 2}
  6          3840         480  8.00000000  {8: 480}
  7         34176        4272  8.00000000  {8: 4272}
  8        444608       55576  8.00000000  {8: 55576}
  9       1452288      181536  8.00000000  {8: 181536}
 10       6809472      851184  8.00000000  {8: 851184}
 11      15264896     1908112  8.00000000  {8: 1908112}
 12      42923712     5365464  8.00000000  {8: 5365464}
 13      80465024    10058128  8.00000000  {8: 10058128}
