  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5             0           0  0.00000000  {}
  6             0           0  0.00000000  {}
  7             0           0  0.00000000  {}
  8          3520         440  8.00000000  {8: 440}
  9         23616        2952  8.00000000  {8: 2952}
 10        334720       41840  8.00000000  {8: 41840}
 11       1208704      151088  8.00000000  {8: 151088}
 12       6402944      800368  8.00000000  {8: 800368}
 13      16671808     2083976  8.00000000  {8: 2083976}
 14      54811328     6851416  8.00000000  {8: 6851416}
 15     117053056    14631632  8.00000000  {8: 14631632}
