  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ------------------
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3            64           8  8.00000000  {8: 8}
  4           400          52  7.69230769  {8: 48, 4: 4}
  5          1040         132  7.87878788  {8: 128, 4: 4}
  6          2288         292  7.83561644  {8: 280, 4: 12}
  7          3760         476  7.89915966  {8: 464, 4: 12}
  8          5904         748  7.89304813  {8: 728, 4: 20}
  9          8272        1044  7.92337165  {8: 1024, 4: 20}
 10         11312        1428  7.92156863  {8: 1400, 4: 28}
 11         14576        1836  7.93899782  {8: 1808, 4: 28}
 12         18512        2332  7.93825043  {8: 2296, 4: 36}
 13         22672        2852  7.94950912  {8: 2816, 4: 36}
 14         27504        3460  7.94913295  {8: 3416, 4: 44}
 15         32560        4092  7.95698925  {8: 4048, 4: 44}
 16         38288        4812  7.95677473  {8: 4760, 4: 52}
 17         44240        5556  7.96256299  {8: 5504, 4: 52}
 18         50864        6388  7.96242956  {8: 6328, 4: 60}
 19         57712        7244  7.96686913  {8: 7184, 4: 60}
 20         65232        8188  7.96678065  {8: 8120, 4: 68}
 21         72976        9156  7.97029270  {8: 9088, 4: 68}
 22         81392       10212  7.97023110  {8: 10136, 4: 76}
 23         90032       11292  7.97307829  {8: 11216, 4: 76}
 24         99344       12460  7.97303371  {8: 12376, 4: 84}
 25        108880       13652  7.97538822  {8: 13568, 4: 84}
 26        119088       14932  7.97535494  {8: 14840, 4: 92}
 27        129520       16236  7.97733432  {8: 16144, 4: 92}
 28        140624       17628  7.97730883  {8: 17528, 4: 100}
 29        151952       19044  7.97899601  {8: 18944, 4: 100}
 30        163952       20548  7.97897606  {8: 20440, 4: 108}
 31        176176       22076  7.98043124  {8: 21968, 4: 108}
 32        189072       23692  7.98041533  {8: 23576, 4: 116}
 33        202192       25332  7.98168325  {8: 25216, 4: 116}
 34        215984       27060  7.98167036  {8: 26936, 4: 124}
 35        230000       28812  7.98278495  {8: 28688, 4: 124}
 36        244688       30652  7.98277437  {8: 30520, 4: 132}
 37        259600       32516  7.98376184  {8: 32384, 4: 132}
 38        275184       34468  7.98375305  {8: 34328, 4: 140}
 39        290992       36444  7.98463396  {8: 36304, 4: 140}
 40        307472       38508  7.98462657  {8: 38360, 4: 148}
 41        324176       40596  7.98541728  {8: 40448, 4: 148}
 42        341552       42772  7.98541102  {8: 42616, 4: 156}
 43        359152       44972  7.98612470  {8: 44816, 4: 156}
 44        377424       47260  7.98611934  {8: 47096, 4: 164}
 45        395920       49572  7.98676672  {8: 49408, 4: 164}
 46        415088       51972  7.98676210  {8: 51800, 4: 172}
 47        434480       54396  7.98735201  {8: 54224, 4: 172}
 48        454544       56908  7.98734800  {8: 56728, 4: 180}
 49        474832       59444  7.98788776  {8: 59264, 4: 180}
 50        495792       62068  7.98788426  {8: 61880, 4: 188}
