  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             4           2  2.00000000  {2: 2}
  5             0           0  0.00000000  {}
  6           424          60  7.06666667  {8: 48, 4: 8, 2: 4}
  7             0           0  0.00000000  {}
  8          1884         250  7.53600000  {8: 224, 4: 20, 2: 6}
  9             0           0  0.00000000  {}
 10          7216         928  7.77586207  {8: 880, 4: 40, 2: 8}
 11             0           0  0.00000000  {}
 12         22948        2910  7.88591065  {8: 2832, 4: 68, 2: 10}
 13             0           0  0.00000000  {}
 14         57144        7204  7.93225986  {8: 7088, 4: 104, 2: 12}
 15             0           0  0.00000000  {}
 16        121132       15226  7.95560226  {8: 15064, 4: 148, 2: 14}
 17             0           0  0.00000000  {}
 18        229696       28824  7.96891479  {8: 28608, 4: 200, 2: 16}
 19             0           0  0.00000000  {}
 20        400500       50206  7.97713421  {8: 49928, 4: 260, 2: 18}
